epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,151.006,2.57756,3.54322,1.36971,0.72626,0.34859,0.3839,0.13535,2.29173,2.47955,1.21446,0.000415088,0.000415088,0.000415088
2,320.366,2.20209,2.13089,1.21236,0.65758,0.44914,0.47751,0.17651,2.14259,1.76853,1.12773,0.000823521,0.000823521,0.000823521
3,516.993,2.09256,1.71173,1.17627,0.59514,0.47486,0.4985,0.19174,2.11231,1.58267,1.13226,0.0012237,0.0012237,0.0012237
4,650.089,2.03367,1.51767,1.14738,0.70508,0.4596,0.5215,0.21034,2.06142,1.41986,1.10201,0.00121287,0.00121287,0.00121287
5,782.038,1.99437,1.4055,1.13523,0.7075,0.50916,0.5546,0.22333,2.01312,1.32016,1.1168,0.0012005,0.0012005,0.0012005
6,915.185,1.94685,1.32753,1.11345,0.73145,0.51986,0.55986,0.23444,1.96983,1.26603,1.07123,0.00118812,0.00118812,0.00118812
7,1044.25,1.90408,1.25959,1.09892,0.75234,0.52264,0.58446,0.24933,1.9202,1.24587,1.06479,0.00117575,0.00117575,0.00117575
8,1167.65,1.87851,1.24828,1.09005,0.71639,0.51093,0.55474,0.22236,1.96661,1.24609,1.06348,0.00116337,0.00116337,0.00116337
9,1297.06,1.852,1.20369,1.08584,0.78984,0.54998,0.61661,0.26974,1.88406,1.12943,1.05528,0.001151,0.001151,0.001151
10,1426.32,1.82492,1.1786,1.06768,0.74425,0.55802,0.60625,0.25548,1.88766,1.13612,1.04166,0.00113863,0.00113863,0.00113863
11,1556.15,1.81639,1.15857,1.07308,0.77304,0.56051,0.63832,0.28857,1.83737,1.07375,1.0411,0.00112625,0.00112625,0.00112625
12,1691.35,1.80058,1.12218,1.05936,0.78302,0.56602,0.63665,0.28983,1.82211,1.07588,1.04958,0.00111388,0.00111388,0.00111388
13,1831.52,1.77056,1.11092,1.05602,0.8095,0.56191,0.64127,0.27663,1.86602,1.09083,1.04565,0.0011015,0.0011015,0.0011015
14,1959.63,1.75432,1.09084,1.05341,0.76918,0.57893,0.64191,0.29183,1.82624,1.05932,1.03066,0.00108913,0.00108913,0.00108913
15,2097.02,1.73469,1.08522,1.04519,0.80203,0.56137,0.64299,0.29525,1.76924,1.03565,1.01908,0.00107675,0.00107675,0.00107675
16,2222.23,1.73662,1.06963,1.04396,0.77791,0.58254,0.64882,0.28419,1.85243,1.0476,1.04107,0.00106437,0.00106437,0.00106437
17,2346.85,1.72883,1.0605,1.04462,0.79317,0.61027,0.67793,0.30706,1.74418,1.02944,1.01425,0.001052,0.001052,0.001052
18,2470,1.70512,1.04848,1.0306,0.78613,0.59716,0.67275,0.33083,1.70179,0.97439,1.0067,0.00103962,0.00103962,0.00103962
19,2597.73,1.70851,1.04329,1.03478,0.80678,0.5922,0.66783,0.30641,1.78304,0.99134,1.01963,0.00102725,0.00102725,0.00102725
20,2723.77,1.68591,1.02976,1.02501,0.80851,0.62169,0.68805,0.32709,1.71145,0.99683,1.01731,0.00101488,0.00101488,0.00101488
21,2853.98,1.68665,1.01488,1.02851,0.79303,0.61112,0.67971,0.3281,1.72477,0.97264,1.01668,0.0010025,0.0010025,0.0010025
22,2980.69,1.66735,0.99073,1.02589,0.83747,0.59729,0.67862,0.33333,1.71142,0.97895,1.01688,0.000990125,0.000990125,0.000990125
23,3108.27,1.65328,0.98493,1.01881,0.76158,0.63848,0.69228,0.31675,1.79462,0.96333,1.02367,0.00097775,0.00097775,0.00097775
24,3236.32,1.656,0.97906,1.02092,0.80569,0.61548,0.68768,0.33766,1.71073,0.93906,1.00815,0.000965375,0.000965375,0.000965375
25,3365.96,1.645,0.97258,1.01027,0.81104,0.61763,0.70137,0.36912,1.63942,0.92432,0.99022,0.000953,0.000953,0.000953
26,3495.67,1.62045,0.94506,1.00985,0.84238,0.61072,0.69194,0.35508,1.63756,0.93577,0.98809,0.000940625,0.000940625,0.000940625
27,3622.72,1.61377,0.94701,1.00685,0.80737,0.62947,0.69894,0.34719,1.67009,0.92279,1.00081,0.00092825,0.00092825,0.00092825
28,3747.79,1.59192,0.94161,1.00043,0.84028,0.6325,0.70526,0.33143,1.73483,0.93487,1.00598,0.000915875,0.000915875,0.000915875
29,3870.1,1.60011,0.92821,1.00275,0.82541,0.63665,0.71421,0.34476,1.71438,0.91558,1.00227,0.0009035,0.0009035,0.0009035
30,3993.89,1.61004,0.94174,1.00484,0.80842,0.64781,0.70976,0.34297,1.72928,0.91856,1.00661,0.000891125,0.000891125,0.000891125
31,4120.19,1.60404,0.92584,1.00152,0.81814,0.62097,0.7013,0.34803,1.64524,0.8969,0.98739,0.00087875,0.00087875,0.00087875
32,4246.08,1.59053,0.92128,0.99455,0.80823,0.64974,0.71133,0.36156,1.66292,0.89465,0.99076,0.000866375,0.000866375,0.000866375
33,4376.09,1.58805,0.91403,0.99359,0.82152,0.64487,0.71884,0.35495,1.6653,0.89304,0.9884,0.000854,0.000854,0.000854
34,4507.9,1.57523,0.90293,0.98994,0.83581,0.64354,0.71964,0.37059,1.60921,0.87354,0.97951,0.000841625,0.000841625,0.000841625
35,4640.77,1.56213,0.90479,0.99304,0.84355,0.63823,0.71809,0.37913,1.58485,0.87177,0.98597,0.00082925,0.00082925,0.00082925
36,4771.34,1.56173,0.8848,0.98833,0.83417,0.63634,0.71392,0.34659,1.65603,0.89007,0.98318,0.000816875,0.000816875,0.000816875
37,4904.04,1.56597,0.88785,0.9918,0.81107,0.6545,0.72442,0.35811,1.6691,0.87067,0.98756,0.0008045,0.0008045,0.0008045
38,5034.31,1.56003,0.88713,0.98647,0.82115,0.63531,0.7153,0.37889,1.57796,0.86039,0.97678,0.000792125,0.000792125,0.000792125
39,5165.14,1.52119,0.87395,0.98217,0.85331,0.64257,0.71901,0.36711,1.6224,0.87827,0.98127,0.00077975,0.00077975,0.00077975
40,5297.35,1.53312,0.87157,0.98413,0.81698,0.64617,0.71901,0.37015,1.6276,0.84118,0.98408,0.000767375,0.000767375,0.000767375
41,5423.82,1.51658,0.84591,0.97579,0.81478,0.65728,0.7255,0.37048,1.61512,0.86372,0.97839,0.000755,0.000755,0.000755
42,5553.71,1.52461,0.85052,0.97866,0.82819,0.64372,0.72197,0.37747,1.60118,0.8448,0.97692,0.000742625,0.000742625,0.000742625
